id,name,category,description,location,phone
1,대표이사실 (3층),업무시설,대표이사 전용 공간,3층 엘리베이터 내려서 좌측 복도 끝,8800
2,화상회의실,회의시설,화상 회의 전용 공간,3층 엘리베이터 내려서 좌측 복도(대표이사실 옆),
3,자료실 (3층),편의시설,각종 자료 및 문서를 보관하는 공간,3층 엘리베이터 맞은편 복도,
4,랩실 (3층),연구시설,연구 및 실습용 공간,3층 엘리베이터 내려서 우측 중앙 구역,
5,공실 (3층),기타,미사용 공간,3층 엘리베이터 우측 랩실 옆 구역,
6,대회의실 (3층),회의시설,대규모 회의가 가능한 회의실,3층 엘리베이터 우측 복도 끝(공실 옆),
7,경영지원실 (3층),업무부서,"경영지원 업무 담당 구역 (권봄, 박태영, 서주옥 등)",3층 엘리베이터 좌측 사무실 구역 맨 앞줄,8875
8,공공영업팀,업무부서,"공공기관 영업 담당 구역 (김다영, 박성우, 장성훈 등)",3층 엘리베이터 좌측 사무실 구역 두 번째 줄,8802
9,수도권영업팀,업무부서,"수도권 영업 담당 구역 (김보람, 최가은, 노형민 등)",3층 엘리베이터 좌측 사무실 구역 중앙 세 번째 줄,8963
10,전자칠판사업실,업무부서,"전자칠판 사업 담당 구역 (김태경, 김경민, 이승훈 등)",3층 엘리베이터 좌측 사무실 구역 네 번째 줄,8857
11,연구실 (3층),연구시설,"연구개발 담당 구역 (백재현, 이은정, 김성곤 등)",3층 엘리베이터 좌측 사무실 구역 창가 쪽 뒷줄,8818
12,에이텍 모빌리티 임원실 (4층 좌측),업무시설,임원 전용 공간,4층 엘리베이터 내려서 좌측 복도 끝(상단),
13,에이텍 모빌리티 임원실 (4층 우측),업무시설,임원 전용 공간,4층 엘리베이터 우측 복도 끝(상단),
14,에이텍 모빌리티 회의실 (4층 좌측),회의시설,회의용 공간,4층 엘리베이터 내려서 좌측 복도 끝(하단),
15,에이텍 모빌리티 회의실 (4층 우측),회의시설,회의용 공간,4층 엘리베이터 우측 복도 끝(하단),
16,에이텍 모빌리티 프로젝트 룸,업무시설,프로젝트 전용 회의/업무 공간,4층 엘리베이터 좌측 하단 복도 끝,
17,에이텍 모빌리티 랩실 (4층),연구시설,연구 및 테스트 공간,4층 엘리베이터 좌측 연구소 내부 진입 후 좌측 복도 20m 지점 출입문 정면 구역,
18,에이텍 모빌리티 재경 / 총무,업무부서,재무/회계 및 총무 담당 구역,4층 엘리베이터 입구 바로 맞은편 왼쪽,
19,에이텍 모빌리티 대표이사 / AFC사업부,업무부서,"에이텍 모빌리티 대표이사 및 AFC사업부 담당 구역 (양철성, 최성용)",4층 엘리베이터 좌측 메인 사무실 구역,8731
20,에이텍 모빌리티 ITS사업부,업무부서,에이텍 모빌리티 ITS 사업 담당 구역 (김욱),4층 엘리베이터 앞 메인 사무실 중앙 구역,8713
21,에이텍 모빌리티 연구소 (4층),연구시설,"에이텍 모빌리티 연구소는 연구팀의 개발 및 업무를 위한 구역",4층 엘리베이터 내려서 바로 왼쪽 첫번째 구역,
22,회장실(5층),업무시설,에이텍 모빌리티 회장 전용 공간,5층 엘리베이터 내려서 좌측 복도 끝,
23,전략기획실 (5층),업무부서,에이텍 모빌리티 전략기획 관련 업무 및 회의 공간,5층 엘리베이터 좌측 메인 사무실 상단 구역,8901
24,회의실 (5층 중앙),회의시설,중앙 소/중규모 회의 공간,5층 엘리베이터 건너편 중앙 복도 우측,
25,접견실,편의시설,외부 방문객 접견 공간,5층 엘리베이터 내려서 좌측 하단 복도 끝,
26,공실 (5층),기타,미사용 공간,5층 엘리베이터 우측 복도 우측 중간,
27,자료실 (5층),편의시설,문서 및 자료 보관 공간,5층 엘리베이터 우측 복도 우측 하단,
28,경영지원실 (5층),업무부서,"경영지원 업무 담당 구역 (정운수, 김경민, 김진철 등)",5층 엘리베이터 좌측 메인 사무실 좌측 좌석,7981
29,법인1팀,업무부서,"법인 영업 1팀 담당 구역 (김선홍, 김병창, 류청 등)",5층 엘리베이터 좌측 메인 사무실 중앙 좌석,7986
30,법인사업부,업무부서,"법인 사업 총괄 담당 구역 (정민서, 이동운, 강맹구 등)",5층 엘리베이터 우측 사무실 구역(첫 번째 라인),8862
31,정보화추진팀,업무부서,"정보화 시스템 운영 담당 구역 (주효우, 이은서)",5층 엘리베이터 우측 사무실 구역 창가 쪽(세 번째 라인),8803
32,에이텍 오토 대표 / 임원실 (6층),업무시설,대표 및 임원 전용 공간,6층 엘리베이터 내려서 좌측 복도 끝 하단,
33,에이텍 오토 회의실 (6층),회의시설,회의용 공간,6층 엘리베이터 내려서 좌측 복도 끝 상단,
34,에이텍 오토 물류사업부(6층),업무부서,"물류 사업 담당 구역 (임민규, 배영훈, 정처리 등)",6층 엘리베이터 좌측 메인 사무실 상단 구역,
35,에이텍 오토 경영 구역 (6층),업무부서,경영 담당 구역 (강상구),6층 대표실 바로 옆(메인 사무실 좌측 하단),
36,에이텍 오토 영업 구역,업무부서,"자동화/오토 영업 담당 구역 (박성주, 이혁근, 진기영 등)",6층 메인 사무실 중앙 구역,
37,에이텍 오토 연구소,연구시설,"자동화 기술 연구개발 구역 (문기석, 이병목, 박세훈 등)",6층 메인 사무실 하단 중앙 구역,
38,에이텍 오토 연구소 (6층),연구시설,"에이텍 오토 연구소 업무 및 연구원 좌석 구역 (임지민, 장주성, 김민규 등)",6층 메인 사무실 우측 전체 구역,
39,주차장(지하2층~지하4층),주차시설, 최초 1시간 무료 출차가능 이후 각 담당자에게 주차 등록 문의,지하 2층~4층 엘리베이터 및 계단 이용, 
